Module level,Tier 1,Tier 2,Tier 3,Tier 4
HRM,Calendar,Event registration,,
,,Timesheets,,
,,Planned leaves,,
,,Requests overview,,
,,Vacation management,,
,,Roster,,
,Dottie,Overview,,
,,News wall,,
,,Organization,,
,,Employees,List,
,,,Explore,
,,,Notable days,
,,Leave overview,Department calendar,
,,,Statistics,
,,,Report,
,,Skills,Skills,
,,,Matrices,
,,Documents,Common documents,
,,,My documents,
,,,Read overview,
,,,Signatures,
,,,Document batch,
,,,RAG Search,
,,Benefits,,
,,Conversations,Calendar,
,,,All meetings,
,,,Questions,
,,Salary adjustment,,
,,Checklists,,
,,Insight,,
,,Export,Changelog,
,,,Employees,
,,,Leave,
,,,Documents,
,,,Vacation day transfers,
,Employees,Employee list,,
,,Employee card,,
,,Historic bulk operations,,
,,Import vacation balances,,
,,Import absences,,
,Expense,Home,,
,,Additional services,,
,Payroll,Overview of all companies,,
,,Transactions,,
,,Tasks,,
,,Paycodes,,
,,Digital Income Form,,
,,Reports,A-messages,
,,,Accounting overview,
,,,Employee report,
,,,HRM analytics,
,,,Reconcilliation reports,
,,,Reports,
,,,Transaction overview,
,Payroll Portal,Dialogue,,
,,Employees,,
,,Documents,,
,Payslip,Payslips,,
,,Year-end reports,,
,Reports,Calendar,Absence in percent,
,,,Absence statistics,
,,,All registrations,
,,,Balances,Flexitime
,,,,Saved overtime
,,,,Vacation balances
,,,Personnel list,
,,,Refundable absence,
,,,Self-certified sickness,
,,,Worked hours overview,
,,Employees,Employee report,
,,Expense,Data extract,
,,,Driving log (admin),
,,,Claim download,
,,,Emissions,
,,Payroll,A-messages,
,,,Account overview,
,,,HRM Analytics,
,,,Reconcilliation reports,
,,,Transaction overview,
,Settings,Calendar,Company settings,
,,,Cost unit types,
,,,Employee settings,Bulk update time agreements
,,,,Time agreements
,,,Event codes,
,,,File import,
,,,Special days,
,,,Time rules,Compensation rules
,,,,Result codes
,,,,Time agreements
,,,,Time terminal
,,Dottie,Titles,Job titles
,,,,Competency profiles
,,,Company fields,
,,,Document folders,
,,,Skills,Skills
,,,,Categories
,,,Employee tags,
,,,Conversations,
,,,Property filling,
,,,Templates and employement,
,,,Checklist templates,
,,,Organization,Companies and subunits
,,,,Types of organization units
,,,Vacation and leave,Calendar
,,,,Absence types / rules
,,,Equipment,Equipment
,,,,Categories
,,,Access control,Access matrix
,,,,Access roles
,,,,Security logs
,,,Integrations,Services
,,,,Logs
,,,,Exclusions
,,,,Dotties API
,,,Import,
,,,Delete policy,
,,,Authentication,
,,,First steps,
,,Employees,Cars - New tab,
,,,Cost unit import,
,,,Creditors - New tab,
,,,Tags,
,,Expense,Types,Daily allowances
,,,,Abroad destinations
,,,,Mileages
,,,,Expenses
,,,,Other
,,,Company configuration,VAT configuration
,,,,Claim registration settings
,,,,Workflow
,,,,Disable claim registration
,,,Cost units,Cost unit types
,,,,"""Division"""
,,,,"""Sector"""
,,,,"""Team"""
,,,,"""Location"""
,,,,"""Department"""
,,,,"""Custom"""
,,,Employees and groups,Employees
,,,,Groups
,,Payroll,Account types - New tab,
,,,Accounts - New tab,
,,,Altinn 3,
,,,Anomaly detection,
,,,Company - New tab,
,,,Enterprise certificate,
,,,Paycodes - New tab,
,,,Payslip configuration - New tab,
,,,Pension - New tab,
,,,Template company,
,,,Unions - New tab,
,,,Wage run planner,
,,,Wage run planner,
,,,Work time agreements - New tab,
