Module level,Tier 1,Tier 2,Tier 3,Tier 4
Calendar,Event registration,,,
,Timesheets,,,
,Planned leaves,,,
,Requests overview,,,
,Vacation management,,,
,Roster,,,
,Reports,Absence in percent,,
,,Absence statistics,,
,,All registrations,,
,,Balances,Flexitime,
,,,Saved overtime,
,,,Vacation balances,
,,Personnel list,,
,,Refundable absence,,
,,Self-certified sickness,,
,,Worked hours overview,,
,Settings,Company settings,,
,,Cost unit types,,
,,Employee settings,Bulk update time agreements,
,,,Time agreements,
,,Event codes,,
,,File import,,
,,Special days,,
,,Time rules,Compensation rules,
,,,Result codes,
,,,Time agreements,
,,,Time terminal,
