Module level,Tier 1,Tier 2,Tier 3,Tier 4
Dottie,Overview,,,
,News wall,,,
,Organization,,,
,Employees,List,,
,,Explore,,
,,Notable days,,
,Leave overview,Department calendar,,
,,Statistics,,
,,Report,,
,Skills,Skills,,
,,Matrices,,
,Documents,Common documents,,
,,My documents,,
,,Read overview,,
,,Signatures,,
,,Document batch,,
,,RAG Search,,
,Benefits,,,
,Conversations,Calendar,,
,,All meetings,,
,,Questions,,
,Salary adjustment,,,
,Checklists,,,
,Insight,,,
,Export,Changelog,,
,,Employees,,
,,Leave,,
,,Documents,,
,,Vacation day transfers,,
,Settings,Titles,Job titles,
,,,Competency profiles,
,,Company fields,,
,,Document folders,,
,,Skills,Skills,
,,,Categories,
,,Employee tags,,
,,Conversations,,
,,Property filling,,
,,Templates and employement,,
,,Checklist templates,,
,,Organization,Companies and subunits,
,,,Types of organization units,
,,Vacation and leave,Calendar,
,,,Absence types / rules,
,,Equipment,Equipment,
,,,Categories,
,,Access control,Access matrix,
,,,Access roles,
,,,Security logs,
,,Integrations,Services,
,,,Logs,
,,,Exclusions,
,,,Dotties API,
,,Import,,
,,Delete policy,,
,,Authentication,,
,,First steps,,
