Module level,Tier 1,Tier 2,Tier 3,Tier 4
Employees,Employee list,,,
,Employee card,,,
,Historic bulk operations,,,
,Import vacation balances,,,
,Import absences,,,
,Reports,Employee report,,
,Settings,Payslip configuration /Payroll,,
,,Paycodes /Payroll,,
,,Company /Employees,,
,,Creditors /Employees,,
,,Unions /Employees,,
,,Pension /Employees,,
,,Accounts /Employees,,
,,Account types /Employees,,
,,Cost unit management /Employees,,
,,Cars /Employees,,
,,Work time agreements /Employees,,
,,Tags /Employees,,
