Module level,Tier 1,Tier 2,Tier 3,Tier 4
Expense,Home,,,
,Additional services,,,
,Reports,Data extract,,
,,Driving log (admin),,
,,Claim download,,
,,Emissions,,
,Settings,Types,Daily allowances,
,,,Abroad destinations,
,,,Mileages,
,,,Expenses,
,,,Other,
,,Company configuration,VAT configuration,
,,,Claim registration settings,
,,,Workflow,
,,,Disable claim registration,
,,Cost units,Cost unit types,
,,,"""Division""",
,,,"""Sector""",
,,,"""Team""",
,,,"""Location""",
,,,"""Department""",
,,,"""Custom""",
,,Employees and groups,Employees,
,,,Groups,
