Module level,Tier 1,Tier 2,Tier 3,Tier 4
Payroll,Overview of all companies,,,
,Transactions,,,
,Tasks,,,
,Paycodes,,,
,Digital Income Form,,,
,Reports,A-messages,,
,,Account overview,,
,,HRM Analytics,,
,,Reconcilliation reports,,
,,Transaction overview,,
,Settings,Payslip configuration /Payroll,,
,,Wage run planner /Payroll,,
,,Paycodes /Payroll,,
,,Company /Employees,,
,,Creditors /Employees,,
,,Unions /Employees,,
,,Pension /Employees,,
,,Accounts /Employees,,
,,Account types /Employees,,
,,Cost unit import /Employees,,
,,Cost unit management /Employees,,
,,Cars /Employees,,
,,Work time agreements /Employees,,
,,Tags /Employees,,
,,Template company /Payroll,,
,,Enterprise certificate /Payroll,,
,,Wage run approval /Payroll,,
,,Anomaly detection /Payroll,,
